id	cog	domain
A0A068F143		eukaryota
A0A2U3VAH2		eukaryota
D3Z2R5	ENOG502QREI;	eukaryota
F1SR90	ENOG502RXYU;	eukaryota
O60613	KOG3384;	eukaryota
O62768	KOG4716;	eukaryota
O70325	KOG1651;	eukaryota
O89049	KOG4716;	eukaryota
P00435		eukaryota
P04041	KOG1651;	eukaryota
P07203	KOG1651;	eukaryota
P07658	COG3383;	bacteria
P11352	KOG1651;	eukaryota
P18283	KOG1651;	eukaryota
P22352	KOG1651;	eukaryota
P23764		eukaryota
P24183	COG0243;COG3383;	bacteria
P24389		eukaryota
P25236		eukaryota
P26971	ENOG50313TT;	bacteria
P32176	COG0243;COG3383;	bacteria
P36968	KOG1651;	eukaryota
P36969	KOG1651;	eukaryota
P36970	KOG1651;	eukaryota
P46412	KOG1651;	eukaryota
P49895	ENOG502QUGZ;	eukaryota
P49897		eukaryota
P49908	ENOG502QWRU;	eukaryota
P50972		bacteria
P55073	ENOG502S5FA;	eukaryota
P59798	ENOG502S3PW;	eukaryota
P62341	KOG3286;	eukaryota
P62342	KOG3286;	eukaryota
P63300	ENOG502S9W8;	eukaryota
P70274	ENOG502QWRU;	eukaryota
P70551		eukaryota
P97364	KOG3939;	eukaryota
Q04652	KOG4441;	eukaryota
Q16881	KOG1752;KOG4716;	eukaryota
Q17745	KOG4716;	eukaryota
Q1H5H1	KOG3286;	eukaryota
Q2KI76	ENOG502RXYU;	eukaryota
Q32QL6		eukaryota
Q3Y4E2	ENOG502QREI;	eukaryota
Q5I3B1	ENOG502S5FA;	eukaryota
Q5NVA2	KOG4716;	eukaryota
Q727P3	COG0243;COG3383;	bacteria
Q7L4Q3		eukaryota
Q7Z2C4	ENOG502S803;	eukaryota
Q86VQ6		eukaryota
Q8VHC3	ENOG502S29K;	eukaryota
Q8VHV8	ENOG502RXYU;	eukaryota
Q8WWX9	ENOG502S29K;	eukaryota
Q91ZI8	ENOG502S5FA;	eukaryota
Q92813		eukaryota
Q934F5		bacteria
Q99611	KOG3939;	eukaryota
Q99MD6	KOG1752;KOG4716;	eukaryota
Q9BCZ4	ENOG502RXYU;	eukaryota
Q9BQE4	ENOG502RXYU;	eukaryota
Q9BVL4	KOG2542;	eukaryota
Q9C0D9	KOG2877;	eukaryota
Q9IAX2		eukaryota
Q9JHC0	KOG1651;	eukaryota
Q9JLC3	KOG0856;	eukaryota
Q9JLJ1	ENOG502S3PW;	eukaryota
Q9JLT4	KOG4716;	eukaryota
Q9JMH6	KOG4716;	eukaryota
Q9N2I8	KOG4716;	eukaryota
Q9N2J2		eukaryota
Q9NNW7	KOG4716;	eukaryota
Q9NZV5	ENOG502QREI;	eukaryota
Q9NZV6	KOG0856;	eukaryota
Q9VYB0	ENOG502R8DX;	eukaryota
Q9Y6D0	ENOG502S3PW;	eukaryota
Q9Z0J5	KOG4716;	eukaryota
Q9Z1Y9	ENOG502QS2F;	eukaryota
A1E952		eukaryota
A1YIZ1		eukaryota
A6QP01	KOG3286;	eukaryota
B9A1H3	KOG4716;	eukaryota
L7Q485		eukaryota
O32518		bacteria
O42412		eukaryota
P11909	KOG1651;	eukaryota
P13065		bacteria
P18173	KOG1238;	eukaryota
P26970		bacteria
P37141	KOG1651;	eukaryota
P46448		bacteria
P49894		eukaryota
P49896		eukaryota
P49898		eukaryota
P49899		eukaryota
P49907		eukaryota
P52216		bacteria
P59796	KOG1651;	eukaryota
P59797	ENOG502S9W8;	eukaryota
P63301	ENOG502S9W8;	eukaryota
P63303		eukaryota
P83564	KOG1651;	eukaryota
P83645		eukaryota
Q0EFA0	KOG1651;	eukaryota
Q3MHL9		eukaryota
Q4AEG9		eukaryota
Q4AEH0		eukaryota
Q4AEH1		eukaryota
Q4AEH2		eukaryota
Q52KJ8		eukaryota
Q5I3B2	ENOG502QS2F;	eukaryota
Q5R869	KOG0856;	eukaryota
Q5ZJN8	KOG3286;	eukaryota
Q61153	ENOG502QUGZ;	eukaryota
Q66I14	KOG3939;	eukaryota
Q6DN07	ENOG502S5FA;	eukaryota
Q6LWL2	arCOG02235;	archaea
Q6PBD1	KOG3286;	eukaryota
Q6QN11	ENOG502S5FA;	eukaryota
Q6QN12	ENOG502QS2F;	eukaryota
Q6QN13	ENOG502QUGZ;	eukaryota
Q6U6H1		eukaryota
Q802G6	KOG0856;	eukaryota
Q804E1		eukaryota
Q80TA1	KOG2877;	eukaryota
Q8MJ14		eukaryota
Q923V8		eukaryota
Q95N00		eukaryota
Q9DBC0	KOG2542;	eukaryota
Q9MYY8	KOG4716;	eukaryota
Q9VKY8	KOG3939;	eukaryota
A0A069RBJ2	ENOG50313TT;	bacteria
A0A069RH99	ENOG50313TT;	bacteria
A0A069RIM8	COG0709;	bacteria
A0A0G3W8K0		bacteria
A0A0G3WB88		bacteria
A0A0H2YQF4	COG0709;	bacteria
A0A0J8D3Q9		bacteria
A0A0L0WFD3		bacteria
A0A0P8WP13		bacteria
A0A0U1KS76		bacteria
A0A0U1KUP2		bacteria
A0A0W0GGG7		bacteria
A0A151B4D6		bacteria
A0A179D5H5		bacteria
A0A1B9F3T9		bacteria
A0A1C3FF23		bacteria
A0A1C7FKB9		bacteria
A0A1C7G0C1		bacteria
A0A1C7G2Q8		bacteria
A0A1C7G527		bacteria
A0A1D7QZ77		bacteria
A0A1G8WGN2		bacteria
A0A1G9V5F4		bacteria
A0A1I3TRI0		bacteria
A0A1M6BHC3		bacteria
A0A1P8FAK4		bacteria
A0A1Q8QI87		bacteria
A0A1Q8QJ88		bacteria
A0A1Q8R1K9		bacteria
A0A1S6U751		bacteria
A0A1T5C4S1		bacteria
A0A1U7MIL8		bacteria
A0A1U7MIR0		bacteria
A0A1U7MIS2		bacteria
A0A1V4EVX0		bacteria
A0A1V9QVY8		bacteria
A0A1V9SQK9		bacteria
A0A1V9TRU1		bacteria
A0A1W1WB32		bacteria
A0A1W9PTD5		bacteria
A0A1W9SWD6		bacteria
A0A1W9SXR6		bacteria
A0A1W9UAD1		bacteria
A0A1W9UG93		bacteria
A0A1W9VF09		bacteria
A0A1W9W343		bacteria
A0A1W9WXT4		bacteria
A0A1W9XFW0		bacteria
A0A1X0Y5U1		bacteria
A0A1X4MK20		bacteria
A0A1Y0CMG3		bacteria
A0A1Y0ISG2		bacteria
A0A1Y1S0W8		bacteria
A0A1Y2P6S3		bacteria
A0A1Y3RET6		bacteria
A0A1Y3RK90		bacteria
A0A1Y3SE80		bacteria
A0A1Y3WB92		bacteria
A0A1Y3WCL3		bacteria
A0A1Y3XKN6		bacteria
A0A1Y3ZT46		bacteria
A0A1Y4CA59		bacteria
A0A1Y4CC46		bacteria
A0A1Y4CMF6		bacteria
A0A1Y4FR87		bacteria
A0A1Y4G0I0		bacteria
A0A1Y4GJ14		bacteria
A0A1Y4L2I7		bacteria
A0A1Y4MP05		bacteria
A0A1Y4NQ26		bacteria
A0A1Y4RYD2		bacteria
A0A1Y4RZ09		bacteria
A0A1Y4TX01		bacteria
